time,latitude,longitude,sv_used,hdop,pdop,vdop
2025-11-07T13:09:23.613641+00:00,58.421472666666666,15.5816035,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:24.613659+00:00,58.42148566666667,15.581523333333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:25.615515+00:00,58.421497,15.581430333333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:26.611559+00:00,58.421505333333336,15.581334166666666,22|19|17|15|24|13,2.16,6.57,6.20
2025-11-07T13:09:27.612654+00:00,58.42151466666667,15.581242333333334,22|19|17|15|24|13,2.16,6.57,6.21
2025-11-07T13:09:28.608746+00:00,58.421525,15.5811455,22|19|17|15|24|13,2.16,6.58,6.21
2025-11-07T13:09:29.611784+00:00,58.421533833333335,15.5810535,22|19|17|15|24|13,2.17,6.59,6.22
2025-11-07T13:09:30.607921+00:00,58.421541,15.580952166666666,22|19|17|15|24|13,2.17,6.59,6.23
2025-11-07T13:09:31.614820+00:00,58.4215805,15.580817333333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:32.612907+00:00,58.421617499999996,15.5806965,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:33.615091+00:00,58.42166183333333,15.580559833333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:34.612979+00:00,58.421705333333335,15.580431333333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:35.615012+00:00,58.421721833333336,15.580333666666666,22|19|17|15|24|13,2.17,6.62,6.26
2025-11-07T13:09:36.610070+00:00,58.42173616666667,15.580216333333333,22|19|17|15|24|13,2.17,6.63,6.26
2025-11-07T13:09:37.611152+00:00,58.42174983333334,15.580112,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:38.611707+00:00,58.42176583333333,15.5800095,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:39.614240+00:00,58.421776333333334,15.579891833333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:40.612389+00:00,58.421786166666664,15.579787333333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:41.614373+00:00,58.4217935,15.579675333333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:42.611500+00:00,58.421807333333334,15.579549833333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:43.615386+00:00,58.42181133333333,15.579433,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:44.612557+00:00,58.421818333333334,15.5793185,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:45.614698+00:00,58.421831,15.5791935,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:46.612610+00:00,58.42184666666667,15.5790705,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:47.612605+00:00,58.42186366666667,15.578928666666666,22|19|17|15|24|13,2.19,6.70,6.33
2025-11-07T13:09:48.608639+00:00,58.42188316666667,15.578788666666666,22|19|17|15|24|13,2.19,6.71,6.34
2025-11-07T13:09:49.614800+00:00,58.4219015,15.578657333333334,22|19|17|15|24|13,2.19,6.72,6.35
2025-11-07T13:09:50.612792+00:00,58.421915,15.578526333333333,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:51.617858+00:00,58.421924833333335,15.578421833333334,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:52.612904+00:00,58.4219405,15.578301666666666,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:53.615969+00:00,58.42196066666666,15.578173166666666,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:54.613076+00:00,58.42198,15.5780455,22|01|19|17|15|24|13,1.31,2.57,2.21
2025-11-07T13:09:55.611162+00:00,58.422002666666664,15.5779215,22|01|19|17|15|24|13,1.31,2.57,2.21
