time,target_ids,target_ranges,target_speeds,bin_target_speeds
2025-11-07T13:10:16.087859+00:00,"[128, 0, 0, 0, 0, 0]","[97, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:16.185333+00:00,"[128, 0, 0, 0, 0, 0]","[97, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:16.331576+00:00,"[128, 0, 0, 0, 0, 0]","[96, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:16.429073+00:00,"[128, 0, 0, 0, 0, 0]","[96, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:16.575330+00:00,"[128, 0, 0, 0, 0, 0]","[95, 0, 0, 0, 0, 0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010000', '', '', '', '', '']"
2025-11-07T13:10:16.673373+00:00,"[128, 0, 0, 0, 0, 0]","[95, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:16.819101+00:00,"[128, 0, 0, 0, 0, 0]","[94, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:16.916580+00:00,"[128, 0, 0, 0, 0, 0]","[94, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:17.062866+00:00,"[128, 0, 0, 0, 0, 0]","[93, 0, 0, 0, 0, 0]","[4.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010001', '', '', '', '', '']"
2025-11-07T13:10:17.209089+00:00,"[128, 0, 0, 0, 0, 0]","[92, 0, 0, 0, 0, 0]","[4.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010010', '', '', '', '', '']"
2025-11-07T13:10:17.306592+00:00,"[128, 0, 0, 0, 0, 0]","[92, 0, 0, 0, 0, 0]","[4.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010010', '', '', '', '', '']"
2025-11-07T13:10:17.452838+00:00,"[128, 0, 0, 0, 0, 0]","[91, 0, 0, 0, 0, 0]","[4.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010010', '', '', '', '', '']"
2025-11-07T13:10:17.550333+00:00,"[128, 0, 0, 0, 0, 0]","[91, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:17.745364+00:00,"[128, 0, 0, 0, 0, 0]","[90, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:17.842856+00:00,"[128, 0, 0, 0, 0, 0]","[89, 0, 0, 0, 0, 0]","[4.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010011', '', '', '', '', '']"
2025-11-07T13:10:17.940339+00:00,"[128, 0, 0, 0, 0, 0]","[89, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:18.086600+00:00,"[128, 0, 0, 0, 0, 0]","[88, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:18.184097+00:00,"[128, 0, 0, 0, 0, 0]","[88, 0, 0, 0, 0, 0]","[5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010100', '', '', '', '', '']"
2025-11-07T13:10:18.330321+00:00,"[128, 0, 0, 0, 0, 0]","[88, 0, 0, 0, 0, 0]","[5.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010101', '', '', '', '', '']"
2025-11-07T13:10:18.427830+00:00,"[128, 0, 0, 0, 0, 0]","[87, 0, 0, 0, 0, 0]","[5.25, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010101', '', '', '', '', '']"
2025-11-07T13:10:18.574088+00:00,"[128, 0, 0, 0, 0, 0]","[87, 0, 0, 0, 0, 0]","[5.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010110', '', '', '', '', '']"
2025-11-07T13:10:18.672129+00:00,"[128, 0, 0, 0, 0, 0]","[87, 0, 0, 0, 0, 0]","[5.5, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010110', '', '', '', '', '']"
2025-11-07T13:10:18.817854+00:00,"[128, 0, 0, 0, 0, 0]","[86, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
2025-11-07T13:10:18.915350+00:00,"[128, 0, 0, 0, 0, 0]","[86, 0, 0, 0, 0, 0]","[5.75, 0.0, 0.0, 0.0, 0.0, 0.0]","['00010111', '', '', '', '', '']"
